Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,symmetric,-11.894896525414705
75% Corpus,3,0.61,0.01,-11.699033543020118
75% Corpus,3,0.61,0.31,-11.665199462871197
75% Corpus,3,0.61,0.61,-11.670057543479166
75% Corpus,3,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,3,0.61,symmetric,-12.171189057173427
75% Corpus,3,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,3,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,3,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,3,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,3,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,3,symmetric,0.01,-13.027365064164751
75% Corpus,3,symmetric,0.31,-12.673588730852106
75% Corpus,3,symmetric,0.61,-12.505320483577586
75% Corpus,3,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,3,symmetric,symmetric,-12.773928045148015
75% Corpus,3,asymmetric,0.01,-11.207852740670642
75% Corpus,3,asymmetric,0.31,-11.490550277781777
75% Corpus,3,asymmetric,0.61,-10.515224581385649
75% Corpus,3,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,3,asymmetric,symmetric,-11.644938063578744
75% Corpus,4,0.01,0.01,-12.207227744439205
75% Corpus,4,0.01,0.31,-12.649706070363806
75% Corpus,4,0.01,0.61,-11.754210697902309
75% Corpus,4,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,4,0.01,symmetric,-11.99041805080489
75% Corpus,4,0.31,0.01,-11.786750540634603
75% Corpus,4,0.31,0.31,-11.592716044021213
75% Corpus,4,0.31,0.61,-12.378103904346172
75% Corpus,4,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,4,0.31,symmetric,-11.894896525414705
75% Corpus,4,0.61,0.01,-11.699033543020118
75% Corpus,4,0.61,0.31,-11.665199462871197
75% Corpus,4,0.61,0.61,-11.670057543479166
75% Corpus,4,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,4,0.61,symmetric,-12.171189057173427
75% Corpus,4,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,4,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,4,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,4,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,4,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,4,symmetric,0.01,-13.027365064164751
75% Corpus,4,symmetric,0.31,-12.673588730852106
75% Corpus,4,symmetric,0.61,-12.505320483577586
75% Corpus,4,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,4,symmetric,symmetric,-12.773928045148015
75% Corpus,4,asymmetric,0.01,-11.207852740670642
75% Corpus,4,asymmetric,0.31,-11.490550277781777
75% Corpus,4,asymmetric,0.61,-10.515224581385649
75% Corpus,4,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,4,asymmetric,symmetric,-11.644938063578744
75% Corpus,5,0.01,0.01,-12.207227744439205
75% Corpus,5,0.01,0.31,-12.649706070363806
75% Corpus,5,0.01,0.61,-11.754210697902309
75% Corpus,5,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,5,0.01,symmetric,-11.99041805080489
75% Corpus,5,0.31,0.01,-11.786750540634603
75% Corpus,5,0.31,0.31,-11.592716044021213
75% Corpus,5,0.31,0.61,-12.378103904346172
75% Corpus,5,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,5,0.31,symmetric,-11.894896525414705
75% Corpus,5,0.61,0.01,-11.699033543020118
75% Corpus,5,0.61,0.31,-11.665199462871197
75% Corpus,5,0.61,0.61,-11.670057543479166
75% Corpus,5,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,5,0.61,symmetric,-12.171189057173427
75% Corpus,5,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,5,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,5,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,5,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,5,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,5,symmetric,0.01,-13.027365064164751
75% Corpus,5,symmetric,0.31,-12.673588730852106
75% Corpus,5,symmetric,0.61,-12.505320483577586
75% Corpus,5,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,5,symmetric,symmetric,-12.773928045148015
75% Corpus,5,asymmetric,0.01,-11.207852740670642
75% Corpus,5,asymmetric,0.31,-11.490550277781777
75% Corpus,5,asymmetric,0.61,-10.515224581385649
75% Corpus,5,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,5,asymmetric,symmetric,-11.644938063578744
75% Corpus,6,0.01,0.01,-12.207227744439205
75% Corpus,6,0.01,0.31,-12.649706070363806
75% Corpus,6,0.01,0.61,-11.754210697902309
75% Corpus,6,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,6,0.01,symmetric,-11.99041805080489
75% Corpus,6,0.31,0.01,-11.786750540634603
75% Corpus,6,0.31,0.31,-11.592716044021213
75% Corpus,6,0.31,0.61,-12.378103904346172
75% Corpus,6,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,6,0.31,symmetric,-11.894896525414705
75% Corpus,6,0.61,0.01,-11.699033543020118
75% Corpus,6,0.61,0.31,-11.665199462871197
75% Corpus,6,0.61,0.61,-11.670057543479166
75% Corpus,6,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,6,0.61,symmetric,-12.171189057173427
75% Corpus,6,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,6,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,6,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,6,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,6,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,6,symmetric,0.01,-13.027365064164751
75% Corpus,6,symmetric,0.31,-12.673588730852106
75% Corpus,6,symmetric,0.61,-12.505320483577586
75% Corpus,6,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,6,symmetric,symmetric,-12.773928045148015
75% Corpus,6,asymmetric,0.01,-11.207852740670642
75% Corpus,6,asymmetric,0.31,-11.490550277781777
75% Corpus,6,asymmetric,0.61,-10.515224581385649
75% Corpus,6,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,6,asymmetric,symmetric,-11.644938063578744
75% Corpus,7,0.01,0.01,-12.207227744439205
75% Corpus,7,0.01,0.31,-12.649706070363806
75% Corpus,7,0.01,0.61,-11.754210697902309
75% Corpus,7,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,7,0.01,symmetric,-11.99041805080489
75% Corpus,7,0.31,0.01,-11.786750540634603
75% Corpus,7,0.31,0.31,-11.592716044021213
75% Corpus,7,0.31,0.61,-12.378103904346172
75% Corpus,7,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,7,0.31,symmetric,-11.894896525414705
75% Corpus,7,0.61,0.01,-11.699033543020118
75% Corpus,7,0.61,0.31,-11.665199462871197
75% Corpus,7,0.61,0.61,-11.670057543479166
75% Corpus,7,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,7,0.61,symmetric,-12.171189057173427
75% Corpus,7,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,7,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,7,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,7,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,7,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,7,symmetric,0.01,-13.027365064164751
75% Corpus,7,symmetric,0.31,-12.673588730852106
75% Corpus,7,symmetric,0.61,-12.505320483577586
75% Corpus,7,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,7,symmetric,symmetric,-12.773928045148015
75% Corpus,7,asymmetric,0.01,-11.207852740670642
75% Corpus,7,asymmetric,0.31,-11.490550277781777
75% Corpus,7,asymmetric,0.61,-10.515224581385649
75% Corpus,7,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,7,asymmetric,symmetric,-11.644938063578744
75% Corpus,8,0.01,0.01,-12.207227744439205
75% Corpus,8,0.01,0.31,-12.649706070363806
75% Corpus,8,0.01,0.61,-11.754210697902309
75% Corpus,8,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,8,0.01,symmetric,-11.99041805080489
75% Corpus,8,0.31,0.01,-11.786750540634603
75% Corpus,8,0.31,0.31,-11.592716044021213
75% Corpus,8,0.31,0.61,-12.378103904346172
75% Corpus,8,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,8,0.31,symmetric,-11.894896525414705
75% Corpus,8,0.61,0.01,-11.699033543020118
75% Corpus,8,0.61,0.31,-11.665199462871197
75% Corpus,8,0.61,0.61,-11.670057543479166
75% Corpus,8,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,8,0.61,symmetric,-12.171189057173427
75% Corpus,8,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,8,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,8,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,8,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,8,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,8,symmetric,0.01,-13.027365064164751
75% Corpus,8,symmetric,0.31,-12.673588730852106
75% Corpus,8,symmetric,0.61,-12.505320483577586
75% Corpus,8,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,8,symmetric,symmetric,-12.773928045148015
75% Corpus,8,asymmetric,0.01,-11.207852740670642
75% Corpus,8,asymmetric,0.31,-11.490550277781777
75% Corpus,8,asymmetric,0.61,-10.515224581385649
75% Corpus,8,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,8,asymmetric,symmetric,-11.644938063578744
75% Corpus,9,0.01,0.01,-12.207227744439205
75% Corpus,9,0.01,0.31,-12.649706070363806
75% Corpus,9,0.01,0.61,-11.754210697902309
75% Corpus,9,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,9,0.01,symmetric,-11.99041805080489
75% Corpus,9,0.31,0.01,-11.786750540634603
75% Corpus,9,0.31,0.31,-11.592716044021213
75% Corpus,9,0.31,0.61,-12.378103904346172
75% Corpus,9,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,9,0.31,symmetric,-11.894896525414705
75% Corpus,9,0.61,0.01,-11.699033543020118
75% Corpus,9,0.61,0.31,-11.665199462871197
75% Corpus,9,0.61,0.61,-11.670057543479166
75% Corpus,9,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,9,0.61,symmetric,-12.171189057173427
75% Corpus,9,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,9,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,9,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,9,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,9,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,9,symmetric,0.01,-13.027365064164751
75% Corpus,9,symmetric,0.31,-12.673588730852106
75% Corpus,9,symmetric,0.61,-12.505320483577586
75% Corpus,9,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,9,symmetric,symmetric,-12.773928045148015
75% Corpus,9,asymmetric,0.01,-11.207852740670642
75% Corpus,9,asymmetric,0.31,-11.490550277781777
75% Corpus,9,asymmetric,0.61,-10.515224581385649
75% Corpus,9,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,9,asymmetric,symmetric,-11.644938063578744
75% Corpus,10,0.01,0.01,-12.207227744439205
75% Corpus,10,0.01,0.31,-12.649706070363806
75% Corpus,10,0.01,0.61,-11.754210697902309
75% Corpus,10,0.01,0.9099999999999999,-12.377641766140874
75% Corpus,10,0.01,symmetric,-11.99041805080489
75% Corpus,10,0.31,0.01,-11.786750540634603
75% Corpus,10,0.31,0.31,-11.592716044021213
75% Corpus,10,0.31,0.61,-12.378103904346172
75% Corpus,10,0.31,0.9099999999999999,-12.1181456038994
75% Corpus,10,0.31,symmetric,-11.894896525414705
75% Corpus,10,0.61,0.01,-11.699033543020118
75% Corpus,10,0.61,0.31,-11.665199462871197
75% Corpus,10,0.61,0.61,-11.670057543479166
75% Corpus,10,0.61,0.9099999999999999,-11.930838729643185
75% Corpus,10,0.61,symmetric,-12.171189057173427
75% Corpus,10,0.9099999999999999,0.01,-12.087749542751888
75% Corpus,10,0.9099999999999999,0.31,-12.041202807627062
75% Corpus,10,0.9099999999999999,0.61,-11.80618050077375
75% Corpus,10,0.9099999999999999,0.9099999999999999,-11.39248816437524
75% Corpus,10,0.9099999999999999,symmetric,-12.24065903797262
75% Corpus,10,symmetric,0.01,-13.027365064164751
75% Corpus,10,symmetric,0.31,-12.673588730852106
75% Corpus,10,symmetric,0.61,-12.505320483577586
75% Corpus,10,symmetric,0.9099999999999999,-12.334758192502656
75% Corpus,10,symmetric,symmetric,-12.773928045148015
75% Corpus,10,asymmetric,0.01,-11.207852740670642
75% Corpus,10,asymmetric,0.31,-11.490550277781777
75% Corpus,10,asymmetric,0.61,-10.515224581385649
75% Corpus,10,asymmetric,0.9099999999999999,-10.579198718582083
75% Corpus,10,asymmetric,symmetric,-11.644938063578744
100% Corpus,2,0.01,0.01,-9.960040668067526
100% Corpus,2,0.01,0.31,-9.858758160668543
100% Corpus,2,0.01,0.61,-10.006777756560496
100% Corpus,2,0.01,0.9099999999999999,-10.232144901309006
100% Corpus,2,0.01,symmetric,-9.726369303602997
100% Corpus,2,0.31,0.01,-10.725794567949972
100% Corpus,2,0.31,0.31,-10.306668162139303
100% Corpus,2,0.31,0.61,-10.47963314239806
100% Corpus,2,0.31,0.9099999999999999,-9.813059039363793
100% Corpus,2,0.31,symmetric,-10.065507358179422
100% Corpus,2,0.61,0.01,-11.781189500455708
100% Corpus,2,0.61,0.31,-10.592214841611941
100% Corpus,2,0.61,0.61,-10.325991627564068
100% Corpus,2,0.61,0.9099999999999999,-10.170943894649394
100% Corpus,2,0.61,symmetric,-10.672383478945488
100% Corpus,2,0.9099999999999999,0.01,-10.9670448901984
100% Corpus,2,0.9099999999999999,0.31,-9.452237395543142
100% Corpus,2,0.9099999999999999,0.61,-9.669890121506795
100% Corpus,2,0.9099999999999999,0.9099999999999999,-9.208645485846779
100% Corpus,2,0.9099999999999999,symmetric,-10.300474224839098
100% Corpus,2,symmetric,0.01,-10.35483144752033
